keys,zh_CN,ja,ko,en
"SGF 棋谱","SGF 棋谱","SGF 棋譜","SGF 기보","SGF game record"
"PowerPoint 演示文稿","PowerPoint 演示文稿","PowerPoint プレゼンテーション","PowerPoint 프레젠테이션","PowerPoint presentation"
"Windows 可执行文件","Windows 可执行文件","Windows 実行ファイル","Windows 실행 파일","Windows executable"
"所有文件","所有文件","すべてのファイル","모든 파일","All files"
"KataGo 神经网络模型","KataGo 神经网络模型","KataGo ニューラルネットワークモデル","KataGo 신경망 모델","KataGo neural-network model"
"KataGo 配置文件","KataGo 配置文件","KataGo 設定ファイル","KataGo 설정 파일","KataGo configuration file"
"关闭设置","关闭设置","設定を閉じる","설정 닫기","Close settings"
"落子防误触","落子防误触","着手確認","착수 확인","Confirm moves before playing"
"落子后先显示半透明棋子，确认后才写入棋谱","落子后先显示半透明棋子，确认后才写入棋谱","着手後は半透明の石を表示し、確認してから棋譜に記録します","착수 후 반투명 돌을 표시하고 확인한 뒤 기보에 기록합니다","Show a translucent stone first and add it to the game record only after confirmation"
"确认落子","确认落子","着手を確定","착수 확인","Confirm move"
"取消待确认落子","取消待确认落子","未確定の着手を取り消す","대기 중인 착수 취소","Cancel pending move"
"内置 KataGo 引擎仅供安卓版使用。","内置 KataGo 引擎仅供安卓版使用。","内蔵 KataGo エンジンは Android 版専用です。","내장 KataGo 엔진은 Android 버전 전용입니다.","The embedded KataGo engine is available on Android only."
"安卓版未包含内置 KataGo 引擎扩展。","安卓版未包含内置 KataGo 引擎扩展。","Android 版に内蔵 KataGo エンジン拡張が含まれていません。","Android 버전에 내장 KataGo 엔진 확장이 포함되어 있지 않습니다.","The Android build does not contain the embedded KataGo extension."
"无法创建内置 KataGo 引擎。","无法创建内置 KataGo 引擎。","内蔵 KataGo エンジンを作成できません。","내장 KataGo 엔진을 만들 수 없습니다.","Unable to create the embedded KataGo engine."
"无法创建内置 KataGo 数据目录：%s","无法创建内置 KataGo 数据目录：%s","内蔵 KataGo のデータフォルダーを作成できません：%s","내장 KataGo 데이터 폴더를 만들 수 없습니다: %s","Unable to create the embedded KataGo data directory: %s"
"无法安装内置 KataGo 模型：%s","无法安装内置 KataGo 模型：%s","内蔵 KataGo モデルをインストールできません：%s","내장 KataGo 모델을 설치할 수 없습니다: %s","Unable to install the embedded KataGo model: %s"
"无法创建内置 KataGo 配置：%s","无法创建内置 KataGo 配置：%s","内蔵 KataGo の設定を作成できません：%s","내장 KataGo 설정을 만들 수 없습니다: %s","Unable to create the embedded KataGo configuration: %s"
"内置 KataGo 引擎不可用。","内置 KataGo 引擎不可用。","内蔵 KataGo エンジンを利用できません。","내장 KataGo 엔진을 사용할 수 없습니다.","The embedded KataGo engine is unavailable."
"内置 KataGo 引擎启动失败。","内置 KataGo 引擎启动失败。","内蔵 KataGo エンジンを起動できませんでした。","내장 KataGo 엔진을 시작하지 못했습니다.","The embedded KataGo engine failed to start."
"使用 Android 内置 KataGo 引擎","使用 Android 内置 KataGo 引擎","Android 内蔵 KataGo エンジンを使用","Android 내장 KataGo 엔진 사용","Using the embedded Android KataGo engine"
"正在准备 Android 内置 KataGo 性能检测…","正在准备 Android 内置 KataGo 性能检测…","Android 内蔵 KataGo の性能テストを準備しています…","Android 내장 KataGo 성능 테스트를 준비하는 중…","Preparing the embedded Android KataGo performance test…"
"无法启动内置 KataGo 性能检测。","无法启动内置 KataGo 性能检测。","内蔵 KataGo の性能テストを開始できません。","내장 KataGo 성능 테스트를 시작할 수 없습니다.","Unable to start the embedded KataGo performance test."
"正在测试 %d 个搜索线程…","正在测试 %d 个搜索线程…","%d 個の探索スレッドをテストしています…","검색 스레드 %d개를 테스트하는 중…","Testing %d search threads…"
"无法向内置 KataGo 发送性能检测请求。","无法向内置 KataGo 发送性能检测请求。","内蔵 KataGo に性能テスト要求を送信できません。","내장 KataGo에 성능 테스트 요청을 보낼 수 없습니다.","Unable to send the performance-test request to embedded KataGo."
"性能检测失败。","性能检测失败。","性能テストに失敗しました。","성능 테스트에 실패했습니다.","The performance test failed."
"推荐配置：%d 个搜索线程，批量大小 %d","推荐配置：%d 个搜索线程，批量大小 %d","推奨設定：探索スレッド %d、バッチサイズ %d","권장 설정: 검색 스레드 %d개, 배치 크기 %d","Recommended configuration: %d search threads, batch size %d"
"内置 KataGo 性能检测意外停止。","内置 KataGo 性能检测意外停止。","内蔵 KataGo の性能テストが予期せず停止しました。","내장 KataGo 성능 테스트가 예기치 않게 중지되었습니다.","The embedded KataGo performance test stopped unexpectedly."
"OpenCL KataGo 后端仅供安卓版使用。","OpenCL KataGo 后端仅供安卓版使用。","OpenCL KataGo バックエンドは Android 版専用です。","OpenCL KataGo 백엔드는 Android 버전 전용입니다.","The OpenCL KataGo backend is available on Android only."
"无法连接 Android OpenCL 服务。","无法连接 Android OpenCL 服务。","Android OpenCL サービスに接続できません。","Android OpenCL 서비스에 연결할 수 없습니다.","Unable to connect to the Android OpenCL service."
"Android OpenCL 服务不可用。","Android OpenCL 服务不可用。","Android OpenCL サービスを利用できません。","Android OpenCL 서비스를 사용할 수 없습니다.","The Android OpenCL service is unavailable."
"OpenCL KataGo 启动失败。","OpenCL KataGo 启动失败。","OpenCL KataGo を起動できませんでした。","OpenCL KataGo를 시작하지 못했습니다.","OpenCL KataGo failed to start."
"设备的 OpenCL 后端不可用。","设备的 OpenCL 后端不可用。","この端末では OpenCL バックエンドを利用できません。","이 기기에서는 OpenCL 백엔드를 사용할 수 없습니다.","The OpenCL backend is unavailable on this device."
"%s 已自动切换到兼容性更高的 Eigen 后端。","%s 已自动切换到兼容性更高的 Eigen 后端。","%s 互換性の高い Eigen バックエンドへ自動的に切り替えました。","%s 호환성이 높은 Eigen 백엔드로 자동 전환했습니다.","%s Automatically switched to the more compatible Eigen backend."
"OpenCL 和 Eigen KataGo 后端均无法启动。","OpenCL 和 Eigen KataGo 后端均无法启动。","OpenCL と Eigen のどちらの KataGo バックエンドも起動できません。","OpenCL 및 Eigen KataGo 백엔드를 모두 시작하지 못했습니다.","Neither the OpenCL nor the Eigen KataGo backend could be started."
"OpenCL KataGo 服务已停止。","OpenCL KataGo 服务已停止。","OpenCL KataGo サービスが停止しました。","OpenCL KataGo 서비스가 중지되었습니다.","The OpenCL KataGo service stopped."
"棋谱已自动修复","棋谱已自动修复","棋譜を自動修復しました","기보를 자동으로 복구했습니다","Game record repaired"
"棋谱中存在不符合 SGF 规范的属性名，程序已删除其中的非法字符。","棋谱中存在不符合 SGF 规范的属性名，程序已删除其中的非法字符。","棋譜に SGF 仕様に準拠しないプロパティ名があったため、不正な文字を削除しました。","기보에 SGF 규격에 맞지 않는 속성 이름이 있어 잘못된 문자를 삭제했습니다.","The game record contained property identifiers that do not conform to the SGF specification. Invalid characters were removed."
"部分属性名在删除非法字符后为空，对应属性已被丢弃。","部分属性名在删除非法字符后为空，对应属性已被丢弃。","不正な文字を削除した結果、名前が空になったプロパティは破棄されました。","잘못된 문자를 삭제한 뒤 이름이 비어 버린 속성은 삭제되었습니다.","Some property identifiers became empty after invalid characters were removed, so those properties were discarded."
"部分修复后的属性名与已有属性冲突，对应异常属性已被丢弃。","部分修复后的属性名与已有属性冲突，对应异常属性已被丢弃。","修復後のプロパティ名が既存のプロパティと競合したため、該当する不正なプロパティは破棄されました。","복구된 일부 속성 이름이 기존 속성과 충돌하여 해당 비정상 속성을 삭제했습니다.","Some repaired property identifiers conflicted with existing properties, so the malformed properties were discarded."
"棋谱中的规则名称无法被 KataGo 识别，可能影响分析结果；程序已改用 Chinese 规则。","棋谱中的规则名称无法被 KataGo 识别，可能影响分析结果；程序已改用 Chinese 规则。","棋譜のルール名を KataGo が認識できず、解析結果に影響する可能性があるため、Chinese ルールを使用します。","기보의 규칙 이름을 KataGo가 인식할 수 없어 분석 결과에 영향을 줄 수 있으므로 Chinese 규칙을 사용합니다.","The rules name in the game record is not recognized by KataGo and could affect the analysis. Chinese rules will be used instead."
"棋谱中的贴目必须是 0 到 100 之间、以 0.5 递增的数值，否则可能影响 KataGo 分析；程序已改用 7.5。","棋谱中的贴目必须是 0 到 100 之间、以 0.5 递增的数值，否则可能影响 KataGo 分析；程序已改用 7.5。","コミは 0 から 100 の範囲で 0.5 刻みの値にする必要があります。KataGo の解析に影響する可能性があるため、7.5 を使用します。","덤은 0에서 100 사이의 0.5 단위 값이어야 합니다. KataGo 분석에 영향을 줄 수 있으므로 7.5를 사용합니다.","Komi must be between 0 and 100 in increments of 0.5. Since an invalid value could affect KataGo analysis, 7.5 will be used instead."
"棋谱中的贴目使用了 0.25 或 0.75 小数，可能混用了“子”和“目”单位；KataGo 使用目数，3.75 子应填写为 7.5，程序现已改用 7.5。","棋谱中的贴目使用了 0.25 或 0.75 小数，可能混用了“子”和“目”单位；KataGo 使用目数，3.75 子应填写为 7.5，程序现已改用 7.5。","棋譜のコミに 0.25 または 0.75 の端数があり、「子」と「目」の単位が混在している可能性があります。KataGo は目数を使用するため、3.75 子は 7.5 と入力してください。現在は 7.5 を使用します。","기보의 덤에 0.25 또는 0.75 소수가 있어 집과 점 단위가 혼용되었을 수 있습니다. KataGo는 점 단위를 사용하므로 3.75집은 7.5로 입력해야 합니다. 현재는 7.5를 사용합니다.","The komi contains a .25 or .75 fraction, which may indicate mixed scoring units. KataGo uses points, so 3.75 Chinese stones should be entered as 7.5. The value has been changed to 7.5."
"再次保存后，相关内容将按 Gotepad 的兼容格式写出。","再次保存后，相关内容将按 Gotepad 的兼容格式写出。","次回保存時には、該当する内容が Gotepad の互換形式で書き出されます。","다시 저장하면 해당 내용이 Gotepad 호환 형식으로 기록됩니다.","When the record is saved again, the affected content will be written in Gotepad's compatible format."
"内置","内置","内蔵","내장","Built-in"
"使用内置模型","使用内置模型","内蔵モデルを使用","내장 모델 사용","Use the built-in model"
"使用 Android 内置 KataGo 模型","使用 Android 内置 KataGo 模型","Android 内蔵 KataGo モデルを使用","Android 내장 KataGo 모델 사용","Using the built-in Android KataGo model"
"使用外置模型：%s","使用外置模型：%s","外部モデルを使用：%s","외부 모델 사용: %s","Using external model: %s"
"外置模型已失效，将使用内置模型","外置模型已失效，将使用内置模型","外部モデルが無効なため、内蔵モデルを使用します","외부 모델이 유효하지 않아 내장 모델을 사용합니다","The external model is unavailable; the built-in model will be used"
"正在导入外置模型…","正在导入外置模型…","外部モデルをインポートしています…","외부 모델을 가져오는 중…","Importing external model…"
"正在导入外置模型…%d%%","正在导入外置模型…%d%%","外部モデルをインポートしています…%d%%","외부 모델을 가져오는 중…%d%%","Importing external model…%d%%"
"已导入模型 %s，请点击绿✓保存设置","已导入模型 %s，请点击绿✓保存设置","モデル %s をインポートしました。緑の✓を押して設定を保存してください","모델 %s을(를) 가져왔습니다. 녹색 ✓를 눌러 설정을 저장하세요","Imported model %s. Select the green ✓ to save the setting"
"无法创建外置模型目录：%s","无法创建外置模型目录：%s","外部モデルフォルダーを作成できません：%s","외부 모델 폴더를 만들 수 없습니다: %s","Unable to create the external model directory: %s"
"无法读取所选模型：%s","无法读取所选模型：%s","選択したモデルを読み込めません：%s","선택한 모델을 읽을 수 없습니다: %s","Unable to read the selected model: %s"
"模型文件大小必须在 1 KB 到 1 GB 之间。","模型文件大小必须在 1 KB 到 1 GB 之间。","モデルファイルのサイズは 1 KB 以上 1 GB 以下である必要があります。","모델 파일 크기는 1KB 이상 1GB 이하여야 합니다.","The model file must be between 1 KB and 1 GB."
"存储空间不足，导入模型至少需要模型大小两倍的可用空间。","存储空间不足，导入模型至少需要模型大小两倍的可用空间。","空き容量が不足しています。モデルのインポートにはモデルサイズの2倍以上の空き容量が必要です。","저장 공간이 부족합니다. 모델을 가져오려면 모델 크기의 두 배 이상의 여유 공간이 필요합니다.","Not enough storage space. Importing a model requires at least twice its size in free space."
"无法创建模型临时文件：%s","无法创建模型临时文件：%s","モデルの一時ファイルを作成できません：%s","모델 임시 파일을 만들 수 없습니다: %s","Unable to create the temporary model file: %s"
"复制模型文件失败。","复制模型文件失败。","モデルファイルのコピーに失敗しました。","모델 파일 복사에 실패했습니다.","Failed to copy the model file."
"写入模型文件失败：%s","写入模型文件失败：%s","モデルファイルの書き込みに失敗しました：%s","모델 파일을 쓰지 못했습니다: %s","Failed to write the model file: %s"
"所选文件不是有效的 KataGo 模型。","所选文件不是有效的 KataGo 模型。","選択したファイルは有効な KataGo モデルではありません。","선택한 파일은 유효한 KataGo 모델이 아닙니다.","The selected file is not a valid KataGo model."
"保存外置模型失败：%s","保存外置模型失败：%s","外部モデルの保存に失敗しました：%s","외부 모델을 저장하지 못했습니다: %s","Failed to save the external model: %s"
"无法解压模型文件，请选择标准 KataGo .bin.gz 或 .txt.gz 模型。","无法解压模型文件，请选择标准 KataGo .bin.gz 或 .txt.gz 模型。","モデルファイルを展開できません。標準の KataGo .bin.gz または .txt.gz モデルを選択してください。","모델 파일의 압축을 풀 수 없습니다. 표준 KataGo .bin.gz 또는 .txt.gz 모델을 선택하세요.","Unable to decompress the model. Select a standard KataGo .bin.gz or .txt.gz model."
"模型文件内容不完整。","模型文件内容不完整。","モデルファイルの内容が不完全です。","모델 파일 내용이 불완전합니다.","The model file is incomplete."
"模型文件头无效。","模型文件头无效。","モデルファイルのヘッダーが無効です。","모델 파일 헤더가 유효하지 않습니다.","The model file header is invalid."
"模型版本号无效。","模型版本号无效。","モデルのバージョン番号が無効です。","모델 버전 번호가 유효하지 않습니다.","The model version number is invalid."
"从图片创建","从图片创建","画像から作成","이미지에서 만들기","Create from an image"
"选择本地图片","选择本地图片","ローカル画像を選択","로컬 이미지 선택","Select local image"
"拍照","拍照","写真を撮る","사진 촬영","Take photo"
"相册","相册","フォトライブラリ","사진 보관함","Photo library"
"图片文件","图片文件","画像ファイル","이미지 파일","Image files"
"选择棋盘图片","选择棋盘图片","碁盤画像を選択","바둑판 이미지 선택","Select board image"
"选择","选择","選択","선택","Select"
"从图片创建棋盘","从图片创建棋盘","画像から碁盤を作成","이미지에서 바둑판 만들기","Create board from image"
"图片识别失败","图片识别失败","画像認識に失敗","이미지 인식 실패","Image recognition failed"
"拖动四个黄色控制点，使其分别对准棋盘最外侧的四个交叉点；点击交叉点可在空、黑、白之间修正。","拖动四个黄色控制点，使其分别对准棋盘最外侧的四个交叉点；点击交叉点可在空、黑、白之间修正。","4つの黄色い点を碁盤の最外周の交点に合わせてください。交点をクリックすると、空点・黒・白を切り替えて修正できます。","노란색 조절점 4개를 바둑판 바깥쪽 네 교차점에 맞추세요. 교차점을 클릭하면 빈 점, 흑, 백 순서로 수정할 수 있습니다.","Drag the four yellow handles onto the four outermost grid intersections. Select an intersection to cycle between empty, black, and white."
"按当前四角重新识别","按当前四角重新识别","現在の四隅で再認識","현재 네 모서리로 다시 인식","Recognize using current corners"
"顺时针旋转盘面","顺时针旋转盘面","盤面を時計回りに回転","바둑판을 시계 방향으로 회전","Rotate position clockwise"
"无法读取所选图片。","无法读取所选图片。","選択した画像を読み込めません。","선택한 이미지를 읽을 수 없습니다.","Unable to read the selected image."
"无法打开安卓图片来源。","无法打开安卓图片来源。","Androidの画像入力を開けません。","Android 이미지 입력을 열 수 없습니다.","Unable to open the Android image source."
"当前平台暂不支持棋盘图片识别。","当前平台暂不支持棋盘图片识别。","現在のプラットフォームでは碁盤画像認識を利用できません。","현재 플랫폼에서는 바둑판 이미지 인식을 지원하지 않습니다.","Board image recognition is not available on this platform."
"正在识别棋盘图片…","正在识别棋盘图片…","碁盤画像を認識しています…","바둑판 이미지를 인식하는 중…","Recognizing the board image…"
"棋盘图片识别失败。","棋盘图片识别失败。","碁盤画像の認識に失敗しました。","바둑판 이미지 인식에 실패했습니다.","Board image recognition failed."
"识别结果：黑子 %d，白子 %d，低置信度点 %d","识别结果：黑子 %d，白子 %d，低置信度点 %d","認識結果：黒 %d、白 %d、低信頼度 %d","인식 결과: 흑 %d, 백 %d, 낮은 신뢰도 %d","Recognition: %d black, %d white, %d low-confidence points"
"棋盘四角已调整，请点击“按当前四角重新识别”。","棋盘四角已调整，请点击“按当前四角重新识别”。","四隅を調整しました。「現在の四隅で再認識」を押してください。","바둑판 모서리를 조정했습니다. '현재 네 모서리로 다시 인식'을 누르세요.","The board corners changed. Select Recognize using current corners."
"棋盘图片尚未完成识别。","棋盘图片尚未完成识别。","碁盤画像の認識が完了していません。","바둑판 이미지 인식이 완료되지 않았습니다.","The board image has not been recognized yet."
"无法校验识别盘面。","无法校验识别盘面。","認識した盤面を検証できません。","인식한 바둑판을 검증할 수 없습니다.","Unable to validate the recognized position."
"识别盘面包含无法预置的棋子，请修正红框附近的识别结果后重试。","识别盘面包含无法预置的棋子，请修正红框附近的识别结果后重试。","認識した盤面に配置できない石があります。赤枠付近の認識結果を修正してから再試行してください。","인식한 바둑판에 배치할 수 없는 돌이 있습니다. 빨간 테두리 주변의 인식 결과를 수정한 후 다시 시도하세요.","The recognized position contains stones that cannot be placed. Correct the results near the red outlines and try again."
"无法根据图片创建棋盘。","无法根据图片创建棋盘。","画像から碁盤を作成できません。","이미지에서 바둑판을 만들 수 없습니다.","Unable to create a board from the image."
"识别盘面无法作为预置棋子创建：%s","识别盘面无法作为预置棋子创建：%s","認識した盤面を初期配置として作成できません：%s","인식한 바둑판을 초기 배치로 만들 수 없습니다: %s","Unable to create the recognized setup position: %s"
"图片棋盘","图片棋盘","画像碁盤","이미지 바둑판","Image board"
"终局数目","终局数目","終局の地合計算","종국 계가","Final scoring"
"终局数目目前只支持中国规则。请先收完所有单官，再开始所属判定。","终局数目目前只支持中国规则。请先收完所有单官，再开始所属判定。","終局の地合計算は現在、中国ルールのみに対応しています。すべてのダメを詰めてから所有判定を開始してください。","종국 계가는 현재 중국식 규칙만 지원합니다. 모든 공배를 메운 뒤 소유권 판정을 시작하세요.","Final scoring currently supports Chinese rules only. Fill all dame before starting ownership analysis."
"开始判定","开始判定","判定を開始","판정 시작","Start analysis"
"KataGo所属判定","KataGo所属判定","KataGo 所有判定","KataGo 소유권 판정","KataGo ownership"
"正在请求 KataGo 所属判定…","正在请求 KataGo 所属判定…","KataGo に所有判定を要求しています…","KataGo 소유권 판정을 요청하는 중…","Requesting KataGo ownership analysis…"
"所属判定中 · %d visits","所属判定中 · %d visits","所有判定中 · %d visits","소유권 판정 중 · %d visits","Analyzing ownership · %d visits"
"所属判定完成，可点击棋盘修正错误地域。","所属判定完成，可点击棋盘修正错误地域。","所有判定が完了しました。誤った領域は盤上をクリックして修正できます。","소유권 판정이 완료되었습니다. 잘못된 영역은 바둑판을 눌러 수정할 수 있습니다.","Ownership analysis is complete. Click the board to correct a region."
"接受所属判定并数目","接受所属判定并数目","所有判定を確定して計算","소유권 판정 수락 및 계가","Accept ownership and score"
"退出终局数目模式","退出终局数目模式","終局計算モードを終了","종국 계가 모드 종료","Exit final scoring"
"无法开始终局数目模式。","无法开始终局数目模式。","終局計算モードを開始できません。","종국 계가 모드를 시작할 수 없습니다.","Unable to start final scoring mode."
"无法构造当前局面的KataGo请求。","无法构造当前局面的KataGo请求。","現在の局面から KataGo リクエストを作成できません。","현재 국면의 KataGo 요청을 만들 수 없습니다.","Unable to build a KataGo request for the current position."
"无法向KataGo发送终局数目请求。","无法向KataGo发送终局数目请求。","KataGo に終局計算リクエストを送信できません。","KataGo에 종국 계가 요청을 보낼 수 없습니다.","Unable to send the final-scoring request to KataGo."
"KataGo没有返回有效的所属判定。","KataGo没有返回有效的所属判定。","KataGo から有効な所有判定が返されませんでした。","KataGo가 유효한 소유권 판정을 반환하지 않았습니다.","KataGo did not return valid ownership data."
"无法根据当前所属标记完成数目。","无法根据当前所属标记完成数目。","現在の所有マークから地合を計算できません。","현재 소유권 표식으로 계가할 수 없습니다.","Unable to score from the current ownership marks."
"终局数目失败","终局数目失败","終局計算に失敗","종국 계가 실패","Final scoring failed"
"终局数目结果","终局数目结果","終局計算結果","종국 계가 결과","Final scoring result"
"黑方：%d 子 + %d 空 = %.1f","黑方：%d 子 + %d 空 = %.1f","黒：石 %d + 地 %d = %.1f","흑: 돌 %d + 집 %d = %.1f","Black: %d stones + %d territory = %.1f"
"白方：%d 子 + %d 空 + 贴目 %.1f = %.1f","白方：%d 子 + %d 空 + 贴目 %.1f = %.1f","白：石 %d + 地 %d + コミ %.1f = %.1f","백: 돌 %d + 집 %d + 덤 %.1f = %.1f","White: %d stones + %d territory + %.1f komi = %.1f"
"中立点：%d","中立点：%d","中立点：%d","중립점: %d","Neutral points: %d"
"结果：黑方胜 %.1f 目","结果：黑方胜 %.1f 目","結果：黒の %.1f 目勝ち","결과: 흑 %.1f집 승","Result: Black wins by %.1f points"
"结果：白方胜 %.1f 目","结果：白方胜 %.1f 目","結果：白の %.1f 目勝ち","결과: 백 %.1f집 승","Result: White wins by %.1f points"
"结果：和棋","结果：和棋","結果：持碁","결과: 무승부","Result: Draw"
"KataGo 人类模仿棋","KataGo 人类模仿棋","KataGo 人間模倣対局","KataGo 인간 모방 바둑","KataGo human-like play"
"Human SL 模型","Human SL 模型","Human SL モデル","Human SL 모델","Human SL model"
"请选择 Human SL .bin.gz 模型","请选择 Human SL .bin.gz 模型","Human SL の .bin.gz モデルを選択してください","Human SL .bin.gz 모델을 선택하세요","Select a Human SL .bin.gz model"
"选择 KataGo Human SL 模型","选择 KataGo Human SL 模型","KataGo Human SL モデルを選択","KataGo Human SL 모델 선택","Select KataGo Human SL model"
"KataGo Human SL 模型","KataGo Human SL 模型","KataGo Human SL モデル","KataGo Human SL 모델","KataGo Human SL model"
"测试适合当前设备和 Human SL 模型的搜索线程与批量大小","测试适合当前设备和 Human SL 模型的搜索线程与批量大小","現在のデバイスと Human SL モデルに適した検索スレッド数とバッチサイズをテストします","현재 장치와 Human SL 모델에 적합한 검색 스레드 및 배치 크기를 테스트합니다","Test search threads and batch size for this device and Human SL model"
"尚未配置 Human SL 模型","尚未配置 Human SL 模型","Human SL モデルが未設定です","Human SL 모델이 설정되지 않았습니다","Human SL model is not configured"
"Human SL 模型路径无效","Human SL 模型路径无效","Human SL モデルのパスが無効です","Human SL 모델 경로가 올바르지 않습니다","Invalid Human SL model path"
"Human SL 模型路径已失效，请重新选择","Human SL 模型路径已失效，请重新选择","Human SL モデルのパスが無効になりました。再選択してください","Human SL 모델 경로가 유효하지 않습니다. 다시 선택하세요","The Human SL model path is no longer valid; select it again"
"Human SL 模型配置有效，可以检测","Human SL 模型配置有效，可以检测","Human SL モデル設定は有効です。テストできます","Human SL 모델 설정이 유효하며 테스트할 수 있습니다","Human SL model configuration is valid and ready to test"
"请先完成上方 KataGo 本地分析配置","请先完成上方 KataGo 本地分析配置","先に上の KataGo ローカル解析設定を完了してください","먼저 위의 KataGo 로컬 분석 설정을 완료하세요","Complete the Local KataGo analysis configuration above first"
"请先完整配置上方的 KataGo 本地分析模型。","请先完整配置上方的 KataGo 本地分析模型。","先に上の KataGo ローカル解析モデルを完全に設定してください。","먼저 위의 KataGo 로컬 분석 모델을 완전히 설정하세요.","Configure the Local KataGo analysis model above first."
"KataGo Human SL 模型路径无效。","KataGo Human SL 模型路径无效。","KataGo Human SL モデルのパスが無効です。","KataGo Human SL 모델 경로가 올바르지 않습니다.","The KataGo Human SL model path is invalid."
"KataGo人类模仿棋","KataGo人类模仿棋","KataGo 人間模倣対局","KataGo 인간 모방 대국","KataGo human-like play"
"人类模仿棋","人类模仿棋","人間模倣対局","인간 모방 대국","Human-like play"
"当前由黑方先行","当前由黑方先行","現在は黒番です","현재 흑 차례입니다","Black moves next"
"当前由白方先行","当前由白方先行","現在は白番です","현재 백 차례입니다","White moves next"
"AI执棋","AI执棋","AI の手番","AI 진영","AI side"
"AI执黑","AI执黑","AI が黒","AI 흑","AI plays Black"
"AI执白","AI执白","AI が白","AI 백","AI plays White"
"棋风","棋风","棋風","기풍","Style"
"现代棋风","现代棋风","現代棋風","현대 기풍","Modern style"
"AlphaGo前棋风","AlphaGo前棋风","AlphaGo 以前の棋風","AlphaGo 이전 기풍","Pre-AlphaGo style"
"模仿棋力","模仿棋力","模倣棋力","모방 기력","Imitated rank"
"开始对局","开始对局","対局開始","대국 시작","Start game"
"AI正在思考…","AI正在思考…","AI が思考中…","AI 생각 중…","AI is thinking…"
"等待您落子","等待您落子","あなたの手番です","사용자 차례입니다","Your move"
"AI选择停一手","AI选择停一手","AI がパスを選択","AI가 패스를 선택함","AI chose to pass"
"AI选择了停一手。您是否也停一手？","AI选择了停一手。您是否也停一手？","AI がパスしました。あなたもパスしますか？","AI가 패스했습니다. 사용자도 패스하시겠습니까?","The AI passed. Do you also want to pass?"
"也停一手","也停一手","パスする","패스","Pass"
"继续落子","继续落子","着手を続ける","계속 착수","Continue playing"
"双方已停一手，可进行终局数目或保存棋局。","双方已停一手，可进行终局数目或保存棋局。","双方がパスしました。終局計算または棋譜の保存ができます。","양쪽이 패스했습니다. 계가하거나 기보를 저장할 수 있습니다.","Both sides have passed. You can score or save the game."
"放弃人类模仿棋","放弃人类模仿棋","人間模倣対局を破棄","인간 모방 대국 버리기","Discard human-like game"
"确定放弃当前仿人棋对局记录吗？","确定放弃当前仿人棋对局记录吗？","現在の人間模倣対局の記録を破棄しますか？","현재 인간 모방 대국 기록을 버리시겠습니까?","Discard the current human-like game record?"
"放弃对局","放弃对局","対局を破棄","대국 버리기","Discard game"
"返回对局","返回对局","対局に戻る","대국으로 돌아가기","Return to game"
"无法开始仿人棋模式","无法开始仿人棋模式","人間模倣対局を開始できません","인간 모방 대국을 시작할 수 없음","Unable to start human-like play"
"无法从当前盘面进入人类模仿棋模式。","无法从当前盘面进入人类模仿棋模式。","現在の局面から人間模倣対局を開始できません。","현재 국면에서 인간 모방 대국을 시작할 수 없습니다.","Unable to start human-like play from the current position."
"无法向KataGo发送仿人棋请求。","无法向KataGo发送仿人棋请求。","KataGo に人間模倣リクエストを送信できません。","KataGo에 인간 모방 요청을 보낼 수 없습니다.","Unable to send the human-like play request to KataGo."
"无法取得Human SL落子策略。","无法取得Human SL落子策略。","Human SL の着手方策を取得できません。","Human SL 착수 정책을 가져올 수 없습니다.","Unable to obtain a Human SL move policy."
"AI落子失败。","AI落子失败。","AI の着手に失敗しました。","AI 착수에 실패했습니다.","The AI move failed."
"无法悔棋到上一次人类行棋前。","无法悔棋到上一次人类行棋前。","前回の人間の着手前まで戻せません。","이전 사용자 착수 전으로 무를 수 없습니다.","Unable to return to before the previous human move."
"无法将仿人棋对局保留到主棋谱。","无法将仿人棋对局保留到主棋谱。","人間模倣対局を元の棋譜に保存できません。","인간 모방 대국을 원본 기보에 보존할 수 없습니다.","Unable to keep the human-like game in the main record."
"保留人类模仿棋","保留人类模仿棋","人間模倣対局を保存","인간 모방 대국 보존","Keep human-like game"
"确定结束当前对局，并将本次对局过程记录到主棋谱吗？","确定结束当前对局，并将本次对局过程记录到主棋谱吗？","現在の対局を終了し、この対局の手順を元の棋譜に記録しますか？","현재 대국을 종료하고 이번 대국 과정을 원본 기보에 기록하시겠습니까?","End the current game and record this game sequence in the main record?"
"保留对局并退出","保留对局并退出","対局を保存して終了","대국을 보존하고 종료","Keep game and exit"
"放弃对局并退出","放弃对局并退出","対局を破棄して終了","대국을 버리고 종료","Discard game and exit"
"悔棋两手","悔棋两手","2手戻す","두 수 무르기","Take back two moves"
"AI每手计算量","AI每手计算量","AI 1手あたりの計算量","AI 한 수 계산량","AI visits per move"
"写入仿人棋性能配置失败：%s","写入仿人棋性能配置失败：%s","人間模倣対局の性能設定を書き込めませんでした：%s","인간 모방 바둑 성능 설정을 쓰지 못했습니다: %s","Failed to write the human-like-play performance configuration: %s"
"KataGo 人类模仿棋自动性能检测","KataGo 人类模仿棋自动性能检测","KataGo 人間模倣対局の自動性能テスト","KataGo 인간 모방 바둑 자동 성능 테스트","KataGo human-like-play automatic performance test"
